codigo,nome,preco
ABC123DEF456,Café Éxotico,100
XYZ789GHI012,Córrego Azul,"75,5"
QRS345JKL678,Chá D'Éden,"120,25"
MNO901PQR234,Óleo Luminoso,-50
STU567VWX890,Vinho de Verão,"-25,75"
YZAB123CDE456,Açaí Tropical,"-80,5"
FGH789IJK012,Bistrô Français,"99,99"
LMN345OPQ678,Câmera Épica,"60,8"
RST901UVW234,Viagem Romântica,"-30,4"
XYZ567BCD890,Maçã Caramelizada,150
EFG123HIJ456,Bóia de Piscina,"55,25"
KLM789NOP012,Céu Estrelado,"-45,75"
QRS345TUV678,Pão de Queijo Quente,"200,5"
WXY901ZAB234,Livro Único,"79,99"
CDE567FGH890,Canção Amorosa,"85,6"
IJK123LMN456,Jóia Antiga,-70
OPQ789RST012,Garrafa Térmica,"-39,95"
UVW345XYZ678,Sofá Acolhedor,"-90,25"
ABC901DEF,Capim-limão,65
