codigo,nome,preco,codigo de barras
A3F7G1H2,SkyLuxe Pillow,"R$ 100,00",123
B6D9J4K5,StellarTech Smartwatch,"R$ -50,00",124
C2E8L7M3,ZenBlend Tea Infuser,"R$ 75,50",125
D5G1N9P4,LunaGuard Night Cream,"R$ -25,75",126
E8H2Q6R7,VeloGlide Bike Rack,"R$ 120,25",127
F4J9S1T3,AquaWave Shower Head,"R$ -80,50",128
G1K5U8V2,TerraFresh Plant Fertilizer,"R$ 99,99",129
H2M3W7X9,EmberGlow Fireplace Logs,"R$ -49,95",130
I7N4Y2Z6,NanoFit Earbuds,"R$ 60,80",131
J9P8A3B5,LuxeScape Luggage Set,"R$ -30,40",132
K1Q6C7D9,EvoCharge Electric Car Charger,"R$ 150,00",133
L3R4E2F8,BioBloom Facial Serum,"R$ -70,00",134
M7S1G9H2,SparkleClean Window Cleaner,"R$ 55,25",135
N4T3I5J7,PuraMist Air Purifier,"R$ -45,75",136
O6U8K2L4,NatureFlex Yoga Mat,"R$ 200,50",137
P9V2M1N3,ProVision Golf Clubs,"R$ -90,25",138
Q6W7O5P8,VitaFuel Protein Shake,"R$ 79,99",139
R4X9Q2R1,BladeX Chef's Knife,"R$ -39,95",140
S1Y3S7T5,AquaPure Water Filter,"R$ 85,60",141
T3Z6U8V4,BioBoost Garden Tool Set,"R$ -35,30",142
U7A2W1X9,NovaVibe Bluetooth Speaker,"R$ 180,00",143
V9B5Y3Z4,UrbanHue Backpack,"R$ -60,00",144
W1C7D9E2,FreshHarvest Salad Spinner,"R$ 65,25",145
X3F8G4H6,SolarEco Outdoor Lights,"R$ -55,75",146
Y6J2I1K7,ArcticBite Cooler Bag,"R$ 220,25",147
Z8L3M5N9,RevitaGlow Anti-Aging Cream,"R$ -95,50",148
1A9O2P3Q6,EcoGlide Roller Skates,"R$ 89,99",149
2B5R7S4T8,TerraTaste Picnic Basket,"R$ -29,95",150
3C1U9V6W2,ZephyrZap Insect Repellent,"R$ 95,80",151
4D8X5Y7Z3,TranquilBreeze Fan,"R$ -25,40",152
5E2A3B6C9,SkyVista Telescope,"R$ 230,00",153
6F7D8E5F1,OasisBliss Beach Towel,"R$ -75,00",154
7G3G9H2I4,WaveQuest Surfboard,"R$ 70,25",155
8H1I7J5K3,TrailBlaze Camping Stove,"R$ -50,75",156
9I4K6L8M2,FlexiGrip Resistance Bands,"R$ 240,50",157
0J7N9O1P5,UrbanPulse City Bike,"R$ -100,25",158
1K3Q6R7S9,VitaVigor Multivitamin,"R$ 109,99",159
2L4T8U2V1,AeroTech Drone,"R$ -19,95",160
3M6W7X9Y3,PuroSilk Bed Sheets,"R$ 105,60",161
4N8Z5A7B2,BioBoost Garden Gloves,"R$ -15,30",162
5O2C3D6E8,GlowSparkle Jewelry Cleaner,"R$ 260,00",163
6P7F9G1H4,FitFuel Protein Bar,"R$ -80,00",164
7Q3I5J6K9,TerraTrak Hiking Boots,"R$ 75,25",165
8R4L7M2N5,AquaMist Plant Mister,"R$ -65,75",166
9S6O8P3Q2,RevitaColor Hair Dye,"R$ 280,25",167
0T1U7V9W5,EcoGrow Plant Pot,"R$ -110,50",168
1X3Y6Z8A4,NovaFlow Running Shoes,"R$ 119,99",169
3B5C7D1E9,SwiftHeat Electric Blanket,"R$ -9,95",170
3F4G6H7I2,UrbanZen Meditation Pillow,"R$ 115,80",171
4J8K9L3M5,ZenFresh Aromatherapy Diffuser,"R$ -5,40",172
