codigo,nome,preco
ABC13XYZ79,Estrela do Mar,"R$ 100,00"
DEF456LMN012,Café Aromático,"R$ 75,50"
GHI79QR3,Jardim Encantado,"R$ -120,25"
JKL345TUV678,Lua Crescente,"R$ 50,00"
MNO901PQR567,Terra Fértil,"R$ 25,75"
STU234VWX890,Montanha Azul,"R$ 80,50"
YZA567BCD123,,"R$ 99,99"
EFG890HIJ456,Brisa Suave,"R$ 60,80"
KLM234NOP789,Noite Estrelada,"R$ 30,40"
PQR567STU012,Oceano Tranquilo,"R$ 150,00"
UVW890XYZ123,Sol Dourado,"R$ 55,25"
BCD456EFG789,Nuvem Alva,"R$ 45,75"
HIJ012KLM345,Rio Sereno,"R$ 200,50"
NOP678PQR901,Primavera Florida,"R$ 79,99"
QRS234STU567,Céu Estrelado,"R$ 85,60"
VWX890YZA123,Aurora Boreal,"R$ 70,00"
CDE456DEF789,Vale Encantado,"R$ 39,95"
LMN012GHI345,,"R$- 90,25"
TUV78JKL91,Campo Verdejante,
XYZ13MNO5,Harmonia Natural,
